Words,Translation,All_mean_valence,All_std_valence,All_N_valence,All_mean_arousal,All_std_arousal,All_N_arousal,All_mean_power,All_std_power,All_N_power,All_mean_age_of_acquisition,All_std_age_of_acquisition,All_N_age_of_acquisition,Men_mean_valence,Men_std_valence,Men_N_valence,Men_mean_arousal,Men_std_arousal,Men_N_arousal,Men_mean_power,Men_std_power,Men_N_power,Men_mean_age_of_acquisition,Men_std_age_of_acquisition,Men_N_age_of_acquisition,Women_mean_valence,Women_std_valence,Women_N_valence,Women_mean_arousal,Women_std_arousal,Women_N_arousal,Women_mean_power,Women_std_power,Women_N_power,Women_mean_age_of_acquisition,Women_std_age_of_acquisition,Women_N_age_of_acquisition,Freq(Log10),Freq (1E6),Length,N (%),Grammatical category
triomfantelijk,triumphant,5.53,0.96,64,5.23,1.11,64,5.34,0.96,64,9.65,2.65,32,5.53,0.88,32,5.28,0.99,32,5.25,1.14,32,10.25,3.07,16,5.53,1.05,32,5.19,1.23,32,5.44,0.76,32,9.44,2.63,16,-0.39,0.41,14,0.0,A
trip,journey,4.75,1.20,64,4.86,1.04,64,4.09,1.00,64,7.68,2.53,32,4.88,1.04,32,4.59,1.13,32,3.94,1.08,32,8.00,2.94,16,4.63,1.34,32,5.13,0.87,32,4.25,0.92,32,7.69,2.44,16,0.96,9.19,4,0.0,N
trippen,to trip,3.31,1.10,64,5.43,1.07,63,4.00,1.49,62,11.80,2.51,31,3.59,1.01,32,5.39,1.17,31,4.19,1.54,31,11.53,3.04,15,3.03,1.12,32,5.47,0.98,32,3.81,1.45,31,12.31,2.09,16,0.11,1.28,7,1.8,V
troebel,turbid,2.97,0.53,64,3.41,1.18,64,3.45,1.05,64,8.32,2.76,32,2.97,0.47,32,3.63,1.16,32,3.59,0.98,32,8.56,3.50,16,2.97,0.59,32,3.19,1.18,32,3.31,1.12,32,8.56,2.61,16,-0.12,0.75,7,0.0,A
troef,trump,5.16,0.77,63,4.22,1.29,63,4.67,1.11,63,8.94,3.29,32,5.09,0.73,32,4.41,1.21,32,4.47,1.27,32,7.94,2.72,16,5.23,0.80,31,4.03,1.35,31,4.87,0.88,31,10.19,3.54,16,0.28,1.92,5,1.3,N
troep,troop,2.72,0.81,64,4.03,1.39,64,3.69,1.28,64,6.39,2.65,32,2.75,0.88,32,4.00,1.30,32,3.34,1.29,32,6.56,2.94,16,2.69,0.74,32,4.06,1.50,32,4.03,1.20,32,6.44,2.50,16,1.61,40.48,5,0.0,N
trofee,trophy,5.45,0.91,64,4.77,1.27,64,5.05,1.16,63,7.19,2.04,32,5.47,0.98,32,4.63,1.04,32,4.69,1.35,32,7.00,2.25,16,5.44,0.84,32,4.91,1.47,32,5.42,0.76,31,7.75,2.27,16,0.64,4.37,6,0.4,N
trog,trough,3.67,0.77,49,3.35,1.15,51,4.04,0.94,51,9.45,2.63,22,3.63,0.61,30,3.48,1.12,27,4.07,1.18,28,9.83,3.01,12,3.74,0.99,19,3.21,1.18,24,4.00,0.52,23,9.00,2.16,10,-0.11,0.78,4,22.4,N
trol,troll,2.81,0.81,64,4.06,1.23,64,4.08,1.38,63,6.87,2.40,32,2.91,0.78,32,4.34,1.12,32,4.38,1.41,32,7.00,2.90,16,2.72,0.85,32,3.78,1.29,32,3.77,1.31,31,7.06,2.21,16,0.24,1.74,4,0.4,N
trom,drum,4.11,0.69,61,4.42,1.31,62,4.35,0.99,62,5.84,2.33,32,4.16,0.72,32,4.34,1.10,32,4.10,1.04,31,6.13,3.14,16,4.07,0.65,29,4.50,1.53,30,4.61,0.88,31,6.13,2.53,16,-0.30,0.50,4,3.1,N
trompet,trumpet,4.42,0.77,64,4.52,1.35,63,4.21,1.31,63,5.39,1.48,32,4.50,0.72,32,4.48,1.21,31,3.77,1.41,31,5.56,2.45,16,4.34,0.83,32,4.56,1.50,32,4.63,1.07,32,5.69,1.45,16,0.43,2.68,7,0.9,N
tronen,to throne,4.26,0.78,58,4.06,1.28,63,4.59,1.35,59,8.11,3.26,28,4.14,0.76,28,4.00,1.15,31,4.15,1.59,27,7.80,3.76,15,4.37,0.81,30,4.13,1.41,32,4.97,1.00,32,8.85,2.79,13,-0.74,0.18,6,7.2,V
troon,throne,4.56,0.91,64,3.61,1.33,64,5.20,1.30,64,5.65,2.01,32,4.41,0.71,32,3.78,1.21,32,5.09,1.40,32,6.38,2.94,16,4.72,1.05,32,3.44,1.44,32,5.31,1.20,32,5.31,1.20,16,1.08,12.10,5,0.0,N
troost,consolation,4.98,1.21,64,3.47,1.08,64,3.63,1.46,64,5.71,1.83,32,4.84,1.37,32,3.28,1.22,32,3.31,1.49,32,6.13,2.33,16,5.13,1.04,32,3.66,0.90,32,3.94,1.39,32,5.69,1.92,16,1.11,12.90,6,0.0,N
troosten,to comfort,5.16,1.04,64,4.08,1.26,64,4.09,1.19,64,5.65,2.39,32,4.88,1.07,32,3.75,1.32,32,3.81,1.18,32,5.88,2.87,16,5.44,0.95,32,4.41,1.13,32,4.38,1.16,32,5.81,2.40,16,0.66,4.55,8,0.0,V
tropen,tropics,4.85,0.95,61,3.79,1.32,63,4.39,1.01,62,8.70,2.67,30,4.71,0.82,31,3.81,1.11,31,4.32,1.25,31,8.73,3.51,15,5.00,1.05,30,3.78,1.52,32,4.45,0.72,31,8.67,1.54,15,-0.19,0.64,6,3.1,N
tros,bunch,4.47,0.69,64,3.35,1.17,63,3.94,1.04,64,7.06,2.13,32,4.44,0.62,32,3.56,1.05,32,3.88,1.13,32,7.00,2.39,16,4.50,0.76,32,3.13,1.26,31,4.00,0.95,32,7.50,2.34,16,-0.46,0.34,4,0.4,N
trots,pride,5.72,0.86,64,4.86,1.36,64,5.08,1.26,64,6.55,1.95,32,5.69,0.74,32,4.94,1.32,32,4.59,1.34,32,6.75,2.57,16,5.75,0.98,32,4.78,1.41,32,5.56,0.98,32,6.69,1.70,16,2.05,111.46,5,0.0,N
trouw,faith,6.00,0.94,64,4.42,1.48,64,4.89,1.20,64,7.00,1.67,32,5.59,1.01,32,4.56,1.41,32,4.44,1.16,32,7.31,1.96,16,6.41,0.67,32,4.28,1.55,32,5.34,1.07,32,7.00,1.83,16,1.72,52.34,5,0.0,N
trouwen,to marry,5.80,1.16,64,5.42,1.24,64,4.50,1.21,64,5.52,1.79,32,5.25,1.16,32,5.34,1.21,32,4.41,1.16,32,6.06,2.35,16,6.34,0.87,32,5.50,1.30,32,4.59,1.27,32,5.31,1.58,16,2.18,150.26,7,0.0,V
truc,trick,4.55,0.80,64,4.47,0.94,64,4.36,1.03,64,6.32,1.64,32,4.47,0.84,32,4.63,0.79,32,4.06,1.13,32,6.25,2.24,16,4.63,0.75,32,4.31,1.06,32,4.66,0.83,32,6.75,1.53,16,1.29,19.62,4,0.0,N
truck,truck,3.75,0.71,64,4.38,1.32,64,5.05,1.01,64,6.84,2.37,32,3.81,0.74,32,4.56,0.98,32,4.88,1.13,32,6.81,2.90,16,3.69,0.69,32,4.19,1.57,32,5.22,0.87,32,7.19,2.10,16,1.55,35.24,5,0.0,N
truffel,truffle,4.69,0.85,64,3.28,1.39,64,3.94,1.15,64,9.00,2.52,32,4.75,0.88,32,3.53,1.29,32,3.84,1.25,32,8.88,2.53,16,4.63,0.83,32,3.03,1.45,32,4.03,1.06,32,9.50,2.90,16,-0.60,0.25,7,0.0,N
trui,jersey,4.41,0.68,64,3.03,1.22,64,3.63,0.99,63,4.32,1.42,32,4.38,0.66,32,3.28,1.20,32,3.38,1.07,32,4.94,2.05,16,4.44,0.72,32,2.78,1.21,32,3.90,0.83,31,4.06,1.24,16,1.07,11.62,4,0.4,N
trut,bitch,2.14,0.89,64,4.61,1.26,64,4.42,1.66,64,7.68,2.43,32,2.19,1.03,32,4.78,1.13,32,4.44,1.64,32,7.69,2.96,16,2.09,0.73,32,4.44,1.37,32,4.41,1.70,32,7.88,1.93,16,1.60,40.11,4,0.0,N
tsaar,tsar,3.55,1.05,64,3.92,1.12,60,5.36,1.26,59,10.21,3.00,30,3.34,1.00,32,4.07,1.00,29,5.16,1.29,31,9.88,3.59,16,3.75,1.08,32,3.77,1.23,31,5.57,1.20,28,10.93,2.37,14,0.25,1.78,5,4.9,N
tube,tube,4.03,0.35,64,3.38,1.12,64,3.59,0.99,64,6.74,1.90,32,4.06,0.44,32,3.59,0.84,32,3.31,1.03,32,7.25,2.24,16,4.00,0.25,32,3.16,1.32,32,3.88,0.87,32,6.56,1.93,16,-0.05,0.89,4,0.0,N
tucht,discipline,3.23,0.89,62,4.34,1.33,62,4.56,1.38,61,10.10,3.17,31,3.13,0.76,31,4.67,1.15,30,4.29,1.44,31,9.88,3.30,16,3.32,1.01,31,4.03,1.43,32,4.83,1.29,30,10.80,3.45,15,-0.39,0.41,5,3.6,N
tuig,rig,2.69,0.94,64,4.28,1.21,64,4.34,1.34,64,8.52,2.57,32,2.81,1.03,32,4.25,1.16,32,4.16,1.42,32,8.00,2.68,16,2.56,0.84,32,4.31,1.28,32,4.53,1.24,32,9.25,2.44,16,1.19,15.64,4,0.0,N
tuin,garden,5.05,0.92,64,3.14,1.27,64,3.64,0.95,64,4.35,2.06,32,4.94,0.91,32,3.22,1.26,32,3.34,1.00,32,5.06,2.62,16,5.16,0.92,32,3.06,1.29,32,3.94,0.80,32,3.94,1.53,16,1.56,36.66,4,0.0,N
tuk,keen,4.38,0.87,60,3.05,1.47,58,3.82,0.98,55,8.63,3.74,28,4.27,0.91,30,3.28,1.58,29,3.76,0.95,29,7.20,2.78,15,4.50,0.82,30,2.83,1.34,29,3.88,1.03,26,10.62,4.01,13,0.24,1.74,3,10.3,A
tulp,tulip,4.94,0.85,64,3.16,1.04,64,3.39,1.08,64,6.10,1.97,32,4.84,0.68,32,3.19,0.82,32,3.25,1.14,32,6.06,2.05,16,5.03,1.00,32,3.13,1.24,32,3.53,1.02,32,6.38,2.13,16,-0.32,0.48,4,0.0,N
tumor,tumor,1.45,0.82,64,4.91,1.56,64,5.34,1.69,64,9.77,2.06,32,1.53,0.80,32,4.47,1.57,32,5.22,2.00,32,9.19,2.46,16,1.38,0.83,32,5.34,1.45,32,5.47,1.34,32,10.50,1.37,16,0.76,5.79,5,0.0,N
tunnel,tunnel,3.73,0.67,64,3.55,1.26,64,4.09,0.92,64,5.94,1.93,32,3.84,0.63,32,3.78,1.10,32,4.00,1.02,32,6.69,2.44,16,3.63,0.71,32,3.31,1.38,32,4.19,0.82,32,5.56,1.79,16,1.39,24.49,6,0.0,N
turbo,turbo,4.78,0.81,64,6.05,0.97,64,5.39,1.05,64,9.35,2.95,32,4.94,0.76,32,5.75,1.05,32,5.06,1.11,32,9.13,3.54,16,4.63,0.83,32,6.34,0.79,32,5.72,0.89,32,9.75,2.27,16,0.34,2.17,5,0.0,N
turen,to peer,3.83,0.81,64,3.81,1.25,64,3.80,1.14,59,8.17,2.61,31,3.69,0.82,32,3.75,1.24,32,3.62,1.27,29,8.33,3.04,15,3.97,0.78,32,3.88,1.26,32,3.97,1.00,30,8.25,2.35,16,-0.56,0.27,5,2.7,V
turf,peat,3.75,0.77,61,3.46,1.23,61,3.92,1.05,63,9.90,3.33,30,3.83,0.53,30,3.68,1.05,31,3.71,1.30,31,9.63,3.83,16,3.68,0.94,31,3.23,1.38,30,4.13,0.71,32,10.64,3.03,14,-0.34,0.46,4,4.0,N
turnen,to practise gymnastics,4.69,0.91,64,5.75,0.93,63,4.19,0.97,64,5.81,1.64,32,4.88,0.94,32,5.65,1.02,31,4.00,1.14,32,6.56,1.86,16,4.50,0.84,32,5.84,0.85,32,4.38,0.75,32,5.38,1.71,16,-0.16,0.69,6,0.0,V
turven,to tally,3.86,0.66,59,4.23,1.06,60,3.94,0.92,62,8.93,3.83,31,3.80,0.55,30,4.10,1.01,29,3.67,1.03,30,8.60,4.82,15,3.93,0.75,29,4.35,1.11,31,4.19,0.74,32,9.63,2.92,16,-1.64,0.02,6,5.4,V
twijfel,doubt,3.05,0.74,64,3.77,1.19,64,3.06,1.19,64,6.74,2.22,32,3.13,0.75,32,3.69,1.09,32,3.13,1.16,32,6.81,2.64,16,2.97,0.74,32,3.84,1.30,32,3.00,1.24,32,6.94,2.02,16,1.53,34.03,7,0.0,N
twijfelachtig,doubtful,2.95,0.55,64,3.64,1.19,64,2.83,1.09,64,8.58,2.73,32,3.00,0.62,32,3.56,1.01,32,2.91,1.20,32,8.69,3.57,16,2.91,0.47,32,3.72,1.35,32,2.75,0.98,32,8.81,2.01,16,0.08,1.21,13,0.0,A
twijg,twig,4.18,0.74,61,3.19,1.17,64,2.95,1.26,62,7.79,2.91,29,4.16,0.72,32,3.16,1.02,32,3.06,1.41,31,7.43,3.46,14,4.21,0.77,29,3.22,1.31,32,2.84,1.10,31,8.60,2.85,15,-0.46,0.34,5,3.6,N
twist,twist,3.67,1.06,63,4.77,1.31,62,4.52,1.13,64,9.33,3.08,31,3.59,1.07,32,4.94,0.96,31,4.44,1.37,32,9.19,3.75,16,3.74,1.06,31,4.61,1.58,31,4.59,0.84,32,9.67,2.23,15,0.17,1.49,5,1.8,N
twisten,to dispute,3.23,0.87,64,5.14,1.05,64,4.37,0.93,62,9.13,2.72,32,3.13,0.91,32,5.16,1.02,32,4.40,1.00,30,8.94,3.17,16,3.34,0.83,32,5.13,1.10,32,4.34,0.87,32,9.56,2.34,16,-0.02,0.96,7,0.9,V
type,type,4.19,0.64,64,3.69,1.04,64,4.03,0.89,64,8.23,2.23,32,4.28,0.63,32,3.75,0.88,32,3.94,1.01,32,8.00,2.66,16,4.09,0.64,32,3.63,1.18,32,4.13,0.75,32,8.69,1.89,16,1.58,38.08,4,0.0,N
typen,to type,4.20,0.62,64,4.55,1.10,64,3.88,0.79,64,7.58,1.95,32,4.13,0.61,32,4.28,1.25,32,3.63,0.87,32,7.63,2.55,16,4.28,0.63,32,4.81,0.86,32,4.13,0.61,32,7.88,1.71,16,0.47,2.97,5,0.0,V
ui,onion,4.02,0.79,64,3.50,1.22,64,4.02,1.21,64,5.42,1.80,32,4.09,0.78,32,3.50,1.24,32,3.59,1.29,32,5.56,1.97,16,3.94,0.80,32,3.50,1.22,32,4.44,0.98,32,5.50,1.86,16,0.37,2.33,2,0.0,N
uil,owl,4.36,0.72,64,3.36,1.33,64,3.75,1.33,64,5.90,1.90,32,4.19,0.82,32,3.31,1.15,32,3.53,1.57,32,6.13,2.33,16,4.53,0.57,32,3.41,1.50,32,3.97,1.03,32,6.00,1.86,16,0.50,3.13,3,0.0,N
uitbundig,exuberant,5.53,0.80,64,5.91,0.95,64,5.30,1.00,64,8.55,2.28,32,5.50,0.80,32,5.78,1.07,32,5.19,0.93,32,8.31,2.55,16,5.56,0.80,32,6.03,0.82,32,5.41,1.07,32,9.06,2.21,16,-0.19,0.64,9,0.0,A
uitdagend,provocative,4.98,1.05,64,5.48,0.82,64,5.20,0.86,64,8.48,2.41,32,5.03,0.86,32,5.41,0.91,32,5.06,0.95,32,8.69,2.87,16,4.94,1.22,32,5.56,0.72,32,5.34,0.75,32,8.56,2.16,16,0.12,1.33,9,0.0,A
uitdaging,challenge,5.50,0.82,64,5.45,0.92,64,5.30,0.97,64,8.42,2.16,32,5.25,0.80,32,5.19,1.09,32,5.25,1.02,32,8.56,2.45,16,5.75,0.76,32,5.72,0.63,32,5.34,0.94,32,8.63,2.31,16,1.19,15.66,9,0.0,N
uiten,to express,4.63,0.81,64,4.73,0.91,64,4.52,1.14,64,8.55,3.05,32,4.47,0.57,32,4.50,1.02,32,4.34,1.29,32,8.75,3.64,16,4.78,0.97,32,4.97,0.74,32,4.69,0.97,32,8.63,2.58,16,0.75,5.60,5,0.0,V
uitgaan,to go out,5.56,0.81,64,5.66,1.24,64,4.61,0.94,64,9.19,2.63,32,5.44,0.84,32,5.50,1.41,32,4.47,1.11,32,9.00,3.39,16,5.69,0.78,32,5.81,1.03,32,4.75,0.72,32,9.63,1.75,16,1.24,17.54,7,0.0,V
uitgedoofd,extinct,2.75,0.76,64,2.34,1.18,64,2.53,1.22,64,8.13,2.28,32,2.84,0.81,32,2.41,1.13,32,2.41,0.87,32,8.00,2.63,16,2.66,0.70,32,2.28,1.25,32,2.66,1.49,32,8.56,2.19,16,-0.56,0.27,10,0.0,A
uitgeput,exhausted,2.41,0.83,64,2.47,1.43,64,2.95,1.30,64,7.61,2.19,32,2.56,0.95,32,2.28,1.17,32,3.13,1.36,32,7.75,2.79,16,2.25,0.67,32,2.66,1.64,32,2.78,1.24,32,7.88,2.09,16,1.11,13.01,8,0.0,A
uitgeslapen,rested,5.84,0.82,64,3.41,1.59,64,4.64,1.04,64,6.81,2.09,32,5.75,0.80,32,3.44,1.64,32,4.34,1.26,32,7.00,2.83,16,5.94,0.84,32,3.38,1.56,32,4.94,0.67,32,7.00,1.79,16,-0.32,0.48,11,0.0,A
uitschot,scum,2.22,0.83,64,4.29,1.25,63,3.72,1.73,64,9.00,2.82,32,2.22,0.87,32,4.39,1.05,31,3.97,1.71,32,8.63,3.42,16,2.22,0.79,32,4.19,1.42,32,3.47,1.74,32,9.63,2.16,16,0.91,8.21,8,0.4,N
uitwerpsel,excrement,2.45,0.99,64,3.42,1.35,64,3.70,1.58,64,7.90,2.53,32,2.47,0.95,32,3.47,1.39,32,3.78,1.52,32,7.63,3.05,16,2.44,1.05,32,3.38,1.34,32,3.63,1.66,32,8.56,2.34,16,-1.34,0.05,10,0.0,N
unie,union,4.61,0.81,64,3.73,1.12,64,4.98,1.21,64,9.55,2.42,32,4.69,0.93,32,3.84,1.05,32,4.59,1.43,32,8.94,2.82,16,4.53,0.67,32,3.63,1.18,32,5.38,0.79,32,10.44,1.97,16,0.32,2.08,4,0.0,N
uniek,unique,5.89,0.88,64,4.23,1.59,64,5.27,1.17,64,8.10,2.53,32,5.50,0.84,32,4.38,1.54,32,4.94,1.32,32,8.06,2.86,16,6.28,0.73,32,4.09,1.65,32,5.59,0.91,32,8.38,2.36,16,1.11,12.74,5,0.0,A
urine,urine,2.83,0.88,64,3.43,1.10,63,4.00,1.28,64,7.65,2.17,32,2.78,0.75,32,3.45,0.99,31,4.00,1.14,32,7.31,2.57,16,2.88,1.01,32,3.41,1.21,32,4.00,1.44,32,8.25,1.88,16,0.60,3.98,5,0.4,N
uur,hour,4.14,0.43,64,3.45,1.02,64,4.03,1.04,64,5.03,1.30,32,4.06,0.35,32,3.59,0.91,32,3.91,1.28,32,5.38,2.09,16,4.22,0.49,32,3.31,1.12,32,4.16,0.72,32,5.06,1.12,16,2.54,348.69,3,0.0,N
uurwerk,clock,4.33,0.69,64,3.66,1.28,64,3.95,1.01,64,6.77,2.39,32,4.22,0.61,32,3.78,1.21,32,3.66,1.21,32,6.75,2.84,16,4.44,0.76,32,3.53,1.34,32,4.25,0.67,32,7.31,2.75,16,-0.02,0.96,7,0.0,N
vaag,vague,2.98,0.58,64,3.06,1.23,64,3.02,1.05,64,7.13,2.58,32,3.03,0.54,32,3.25,1.34,32,3.19,1.18,32,6.69,2.89,16,2.94,0.62,32,2.88,1.10,32,2.84,0.88,32,7.81,2.29,16,0.95,8.99,4,0.0,A
vaal,pale,3.15,0.80,52,2.96,1.13,53,3.17,1.00,52,8.38,2.78,21,3.13,0.80,24,3.31,1.26,26,3.39,0.89,23,7.00,2.83,9,3.18,0.82,28,2.63,0.88,27,3.00,1.07,29,9.42,2.35,12,-0.64,0.23,4,20.2,A
vaandel,banner,4.39,0.73,64,3.75,1.34,63,4.35,1.04,60,9.40,2.94,31,4.47,0.57,32,4.10,0.98,31,4.23,1.25,30,9.13,3.77,16,4.31,0.86,32,3.41,1.56,32,4.47,0.78,30,10.00,1.93,15,-0.04,0.91,7,2.7,N
vaardig,proficient,5.53,0.76,64,4.50,1.01,64,4.97,0.89,64,8.61,2.72,32,5.47,0.72,32,4.72,0.85,32,4.72,0.96,32,7.50,2.78,16,5.59,0.80,32,4.28,1.11,32,5.22,0.75,32,10.00,2.22,16,-0.02,0.96,7,0.0,A
vaart,speed,4.31,0.79,64,4.56,1.25,64,4.30,0.95,64,7.65,1.98,32,4.44,0.67,32,4.53,1.24,32,4.03,1.00,32,7.56,2.31,16,4.19,0.90,32,4.59,1.27,32,4.56,0.84,32,8.00,1.90,16,1.00,9.95,5,0.0,N
vaas,vase,4.31,0.69,64,2.88,1.19,64,3.22,1.13,64,5.13,1.65,32,4.22,0.55,32,3.22,1.10,32,3.03,1.18,32,5.13,2.16,16,4.41,0.80,32,2.53,1.19,32,3.41,1.07,32,5.50,1.71,16,0.66,4.57,4,0.0,N
vaat,dishes,3.31,0.71,64,3.81,1.29,63,3.58,1.10,64,7.52,2.94,32,3.31,0.78,32,4.00,1.14,32,3.44,1.13,32,7.63,3.32,16,3.31,0.64,32,3.61,1.43,31,3.72,1.05,32,7.69,2.75,16,0.15,1.42,4,0.4,N
vacht,fur,4.70,0.73,64,2.84,1.06,64,3.56,1.11,64,5.42,2.68,32,4.75,0.72,32,3.06,0.95,32,3.44,1.08,32,5.44,2.87,16,4.66,0.75,32,2.63,1.13,32,3.69,1.15,32,5.81,2.97,16,0.52,3.32,5,0.0,N
vader,father,5.61,1.19,64,4.48,1.20,64,5.00,0.99,64,3.81,1.38,32,5.44,1.08,32,4.63,1.01,32,4.88,0.98,32,4.00,1.75,16,5.78,1.29,32,4.34,1.36,32,5.13,1.01,32,3.94,1.57,16,2.90,795.62,5,0.0,N
vagina,vagina,4.34,1.07,64,4.81,1.52,64,4.55,1.25,64,9.35,2.67,32,4.47,1.14,32,5.03,1.64,32,4.66,1.43,32,10.13,2.45,16,4.22,1.01,32,4.59,1.39,32,4.44,1.05,32,8.75,2.77,16,0.82,6.65,6,0.0,N
vak,section,4.27,0.67,64,3.52,1.20,64,3.95,0.84,64,6.39,1.80,32,4.31,0.78,32,3.66,1.07,32,3.78,1.04,32,6.31,2.12,16,4.22,0.55,32,3.38,1.31,32,4.13,0.55,32,6.69,1.66,16,1.34,22.02,3,0.0,N
vakantie,holidays,6.34,0.74,64,4.19,1.77,64,4.50,0.99,64,5.06,1.46,32,6.13,0.79,32,4.19,1.73,32,4.38,1.10,32,5.13,2.00,16,6.56,0.62,32,4.19,1.84,32,4.63,0.87,32,5.38,1.59,16,1.75,55.71,8,0.0,N
vakkundig,skilled,5.36,0.78,64,4.58,1.21,64,5.06,1.34,64,9.94,2.58,32,5.34,0.79,32,4.53,1.29,32,4.66,1.31,32,9.44,2.94,16,5.38,0.79,32,4.63,1.13,32,5.47,1.27,32,10.63,2.13,16,-0.23,0.59,9,0.0,A
val,fall,2.72,0.72,64,4.47,1.31,64,3.97,1.30,64,4.65,2.29,32,2.75,0.67,32,4.50,1.19,32,4.19,1.33,32,4.88,2.09,16,2.69,0.78,32,4.44,1.44,32,3.75,1.24,32,4.75,2.82,16,2.06,115.46,3,0.0,N
valk,falcon,4.41,0.75,64,4.58,1.26,64,4.75,1.31,64,7.39,2.46,32,4.56,0.80,32,4.63,1.26,32,4.66,1.52,32,6.88,3.05,16,4.25,0.67,32,4.53,1.27,32,4.84,1.08,32,8.19,1.80,16,0.41,2.58,4,0.0,N
vallen,to fall,2.89,0.94,64,4.91,1.12,64,3.19,1.13,64,4.13,1.59,32,3.09,1.06,32,4.78,1.04,32,3.28,1.02,32,4.63,2.50,16,2.69,0.78,32,5.03,1.20,32,3.09,1.23,32,4.13,1.63,16,2.26,180.98,6,0.0,V
vals,false,2.23,0.79,64,4.28,1.15,64,4.06,1.64,64,5.87,1.69,32,2.34,0.83,32,4.22,1.13,32,4.13,1.56,32,6.38,2.39,16,2.13,0.75,32,4.34,1.18,32,4.00,1.74,32,5.75,1.48,16,1.42,26.60,4,0.0,A
vampier,vampire,2.81,1.21,64,5.13,1.25,64,5.08,1.35,64,7.42,2.28,32,2.69,1.20,32,5.03,1.28,32,5.38,1.31,32,7.75,3.04,16,2.94,1.22,32,5.22,1.24,32,4.78,1.34,32,7.31,1.35,16,1.32,20.86,7,0.0,N
vangen,to catch,4.28,0.77,64,5.06,0.83,64,4.25,1.05,64,4.90,1.49,32,4.25,0.67,32,5.13,0.87,32,4.06,1.05,32,5.75,2.57,16,4.31,0.86,32,5.00,0.80,32,4.44,1.05,32,4.56,1.15,16,1.57,36.91,6,0.0,V
varen,to sail,4.63,0.85,64,4.23,1.31,64,3.97,0.99,64,5.90,2.10,32,4.59,0.76,32,3.97,1.38,32,3.56,1.13,32,6.38,2.75,16,4.66,0.94,32,4.50,1.19,32,4.38,0.61,32,5.81,1.87,16,1.24,17.36,5,0.0,V
varken,pig,3.56,0.92,64,3.78,1.13,64,3.52,1.28,64,4.23,1.56,32,3.41,0.87,32,3.78,0.97,32,3.25,1.41,32,4.44,1.75,16,3.72,0.96,32,3.78,1.29,32,3.78,1.10,32,4.25,1.65,16,1.39,24.74,6,0.0,N
vast,fixed,4.30,0.95,64,3.13,1.28,64,4.75,1.15,63,5.35,2.12,32,4.47,0.80,32,3.53,1.19,32,4.29,1.10,31,6.25,2.62,16,4.13,1.07,32,2.72,1.25,32,5.19,1.03,32,4.88,2.00,16,2.82,662.03,4,0.4,A
vastberaden,determined,5.48,0.73,64,4.89,1.10,64,5.66,1.12,64,8.16,3.07,32,5.34,0.75,32,4.75,1.08,32,5.28,1.25,32,7.94,3.19,16,5.63,0.71,32,5.03,1.12,32,6.03,0.82,32,8.75,3.24,16,0.63,4.23,11,0.0,A
vastbesloten,determined,5.28,0.92,64,4.78,1.13,64,5.55,1.02,64,9.06,2.50,32,5.09,1.03,32,4.66,1.21,32,5.25,1.05,32,9.25,3.02,16,5.47,0.76,32,4.91,1.06,32,5.84,0.92,32,9.25,2.38,16,0.70,5.03,12,0.0,A
vasten,to fast,3.50,0.87,64,3.45,1.40,64,4.13,1.29,64,7.65,2.36,32,3.47,0.84,32,3.41,1.50,32,3.84,1.37,32,6.88,2.90,16,3.53,0.92,32,3.50,1.32,32,4.41,1.16,32,8.81,1.83,16,0.18,1.51,6,0.0,V
vasthouden,to hold,4.59,0.89,64,4.55,1.04,64,4.73,1.07,64,5.74,2.65,32,4.66,0.70,32,4.63,1.01,32,4.50,1.02,32,6.56,3.27,16,4.53,1.05,32,4.47,1.08,32,4.97,1.09,32,5.38,2.45,16,1.48,30.25,10,0.0,V
vasthoudend,tenacious,4.80,0.99,64,4.59,1.18,64,5.25,1.22,64,8.90,2.84,32,4.75,0.80,32,4.50,1.14,32,4.78,1.39,32,8.69,3.26,16,4.84,1.17,32,4.69,1.23,32,5.72,0.81,32,9.50,2.76,16,0.02,1.05,11,0.0,A
vastklampen,to cling,3.19,0.83,64,5.10,1.01,63,3.50,1.53,64,8.48,2.66,32,3.28,0.77,32,5.13,0.88,31,3.69,1.51,32,8.38,3.36,16,3.09,0.89,32,5.06,1.13,32,3.31,1.55,32,8.94,2.14,16,-0.21,0.62,11,0.4,V
vat,barrel,4.28,0.79,64,3.48,1.28,64,3.94,0.91,64,7.26,2.83,32,4.22,0.87,32,3.69,1.09,32,3.91,0.89,32,7.50,3.50,16,4.34,0.70,32,3.28,1.44,32,3.97,0.93,32,7.38,2.42,16,1.28,19.05,3,0.0,N
vatbaar,susceptible,3.45,0.97,64,3.81,1.10,64,3.09,1.28,64,8.81,2.79,32,3.41,0.91,32,3.84,1.22,32,3.13,1.18,32,8.81,3.10,16,3.50,1.05,32,3.78,0.97,32,3.06,1.39,32,9.13,2.75,16,0.22,1.67,7,0.0,A
vatten,to catch,4.20,0.78,64,4.28,1.08,64,4.19,1.02,64,8.32,3.08,32,4.06,0.84,32,4.22,1.10,32,4.03,1.09,32,7.56,3.31,16,4.34,0.70,32,4.34,1.07,32,4.34,0.94,32,9.31,2.70,16,0.70,5.05,6,0.0,V
